tick,timestamp,mid_price,bid_price,ask_price,inventory,cash,realized_pnl,unrealized_pnl,total_pnl,trade_count,volatility,reservation_price,half_spread
1468,2467000,54250,57050,57250,200,-10720000,0,0,0,1,0.0175234,54250,50
1469,2468000,54350,57050,57250,200,-10720000,0,0,0,1,0.0172103,54350,50
1470,2469000,54550,57050,57250,200,-10720000,0,0,0,1,0.0174968,54550,50
1471,2470000,54350,57050,57250,200,-10720000,0,0,0,1,0.0177791,54350,50
1472,2471000,54250,57050,57250,200,-10720000,0,0,0,1,0.0177752,54250,50
1473,2472000,54150,57050,57250,200,-10720000,0,0,0,1,0.0177715,54150,50
1474,2473000,54350,57050,57250,200,-10720000,0,0,0,1,0.0181499,54350,50
1475,2474000,54450,57050,57250,200,-10720000,0,0,0,1,0.0178534,54450,50
1476,2475000,54650,57050,57250,200,-10720000,0,0,0,1,0.018226,54650,50
1477,2476000,54650,57050,57250,200,-10720000,0,0,0,1,0.0181299,54650,50
1478,2477000,54450,57050,57250,200,-10720000,0,0,0,1,0.0184022,54450,50
1479,2478000,54350,57050,57250,200,-10720000,0,0,0,1,0.0183991,54350,50
1480,2479000,54250,57050,57250,200,-10720000,0,0,0,1,0.018491,54250,50
1481,2480000,54350,57050,57250,200,-10720000,0,0,0,1,0.0184886,54350,50
1482,2481000,54150,57050,57250,200,-10720000,0,0,0,1,0.0188526,54150,50
1483,2482000,54050,57050,57250,200,-10720000,0,0,0,1,0.0188512,54050,50
1484,2483000,54150,57050,57250,200,-10720000,0,0,0,1,0.0188502,54150,50
1485,2484000,54350,57050,57250,200,-10720000,0,0,0,1,0.0191175,54350,50
1486,2485000,54250,57050,57250,200,-10720000,0,0,0,1,0.0188462,54250,50
1487,2486000,54350,57050,57250,200,-10720000,0,0,0,1,0.018936,54350,50
1488,2487000,54450,57050,57250,200,-10720000,0,0,0,1,0.0189353,54450,50
1489,2488000,54350,57050,57250,200,-10720000,0,0,0,1,0.018665,54350,50
1490,2489000,54450,57050,57250,200,-10720000,0,0,0,1,0.0186654,54450,50
1491,2490000,54250,57050,57250,200,-10720000,0,0,0,1,0.0189363,54250,50
1492,2491000,54250,57050,57250,200,-10720000,0,0,0,1,0.018578,54250,50
1493,2492000,54050,57050,57250,200,-10720000,0,0,0,1,0.0185807,54050,50
1494,2493000,54250,57050,57250,200,-10720000,0,0,0,1,0.0185807,54250,50
1495,2494000,54050,57050,57250,200,-10720000,0,0,0,1,0.0189442,54050,50
1496,2495000,54250,57050,57250,200,-10720000,0,0,0,1,0.0193009,54250,50
1497,2496000,54250,57050,57250,200,-10720000,0,0,0,1,0.0189442,54250,50
1498,2497000,54150,57050,57250,200,-10720000,0,0,0,1,0.0190338,54150,50
1499,2498000,54250,57050,57250,200,-10720000,0,0,0,1,0.0187656,54250,50
1500,2499000,54350,57050,57250,200,-10720000,0,0,0,1,0.018766,54350,50
1501,2500000,54150,57050,57250,200,-10720000,0,0,0,1,0.018766,54150,50
1502,2501000,53950,57050,57250,200,-10720000,0,0,0,1,0.018766,53950,50
1503,2502000,53850,57050,57250,200,-10720000,0,0,0,1,0.0187663,53850,50
1504,2503000,53850,57050,57250,200,-10720000,0,0,0,1,0.0186751,53850,50
1505,2504000,54050,57050,57250,200,-10720000,0,0,0,1,0.0186791,54050,50
1506,2505000,54150,57050,57250,200,-10720000,0,0,0,1,0.0184075,54150,50
1507,2506000,54250,57050,57250,200,-10720000,0,0,0,1,0.0184997,54250,50
1508,2507000,54350,57050,57250,200,-10720000,0,0,0,1,0.0185007,54350,50
1509,2508000,54550,57050,57250,200,-10720000,0,0,0,1,0.018502,54550,50
1510,2509000,54450,57050,57250,200,-10720000,0,0,0,1,0.0182277,54450,50
1511,2510000,54550,57050,57250,200,-10720000,0,0,0,1,0.0179519,54550,50
1512,2511000,54650,57050,57250,200,-10720000,0,0,0,1,0.0180451,54650,50
1513,2512000,54850,57050,57250,200,-10720000,0,0,0,1,0.0184112,54850,50
1514,2513000,54950,57050,57250,200,-10720000,0,0,0,1,0.0184108,54950,50
1515,2514000,54750,57050,57250,200,-10720000,0,0,0,1,0.0186792,54750,50
1516,2515000,54850,57050,57250,200,-10720000,0,0,0,1,0.0186785,54850,50
1517,2516000,55050,57050,57250,200,-10720000,0,0,0,1,0.0189412,55050,50
1518,2517000,54950,57050,57250,200,-10720000,0,0,0,1,0.018669,54950,50
1519,2518000,55150,57050,57250,200,-10720000,0,0,0,1,0.0189299,55150,50
1520,2519000,55150,57050,57250,200,-10720000,0,0,0,1,0.0185701,55150,50
1521,2520000,55350,57050,57250,200,-10720000,0,0,0,1,0.0185596,55350,50
1522,2521000,55150,57050,57250,200,-10720000,0,0,0,1,0.0188195,55150,50
1523,2522000,55150,57050,57250,200,-10720000,0,0,0,1,0.0187288,55150,50
1524,2523000,55350,57050,57250,200,-10720000,0,0,0,1,0.0187158,55350,50
1525,2524000,55150,57050,57250,200,-10720000,0,0,0,1,0.0189738,55150,50
1526,2525000,54950,57050,57250,200,-10720000,0,0,0,1,0.0189674,54950,50
1527,2526000,55050,57050,57250,200,-10720000,0,0,0,1,0.0190544,55050,50
1528,2527000,54950,57050,57250,200,-10720000,0,0,0,1,0.0187865,54950,50
1529,2528000,54950,57050,57250,200,-10720000,0,0,0,1,0.0186963,54950,50
1530,2529000,54850,57050,57250,200,-10720000,0,0,0,1,0.0186944,54850,50
1531,2530000,55050,57050,57250,200,-10720000,0,0,0,1,0.0189561,55050,50
1532,2531000,55250,57050,57250,200,-10720000,0,0,0,1,0.0189445,55250,50
1533,2532000,55150,57050,57250,200,-10720000,0,0,0,1,0.018941,55150,50
1534,2533000,55150,57050,57250,200,-10720000,0,0,0,1,0.0188506,55150,50
1535,2534000,55050,57050,57250,200,-10720000,0,0,0,1,0.0185754,55050,50
1536,2535000,54950,57050,57250,200,-10720000,0,0,0,1,0.0185731,54950,50
1537,2536000,54850,57050,57250,200,-10720000,0,0,0,1,0.0185711,54850,50
1538,2537000,54750,57050,57250,200,-10720000,0,0,0,1,0.0185698,54750,50
1539,2538000,54650,57050,57250,200,-10720000,0,0,0,1,0.0185688,54650,50
1540,2539000,54450,57050,57250,200,-10720000,0,0,0,1,0.0188378,54450,50
1541,2540000,54350,57050,57250,200,-10720000,0,0,0,1,0.0185661,54350,50
1542,2541000,54350,57050,57250,200,-10720000,0,0,0,1,0.0185661,54350,50
1543,2542000,54450,57050,57250,200,-10720000,0,0,0,1,0.0182877,54450,50
1544,2543000,54450,57050,57250,200,-10720000,0,0,0,1,0.0179108,54450,50
1545,2544000,54650,57050,57250,200,-10720000,0,0,0,1,0.0179052,54650,50
1546,2545000,54450,57050,57250,200,-10720000,0,0,0,1,0.0178997,54450,50
1547,2546000,54450,57050,57250,200,-10720000,0,0,0,1,0.0178997,54450,50
1548,2547000,54650,57050,57250,200,-10720000,0,0,0,1,0.0181779,54650,50
1549,2548000,54450,57050,57250,200,-10720000,0,0,0,1,0.018452,54450,50
1550,2549000,54450,57050,57250,200,-10720000,0,0,0,1,0.0183598,54450,50
1551,2550000,54350,57050,57250,200,-10720000,0,0,0,1,0.0180796,54350,50
1552,2551000,54250,57050,57250,200,-10720000,0,0,0,1,0.0177924,54250,50
1553,2552000,54450,57050,57250,200,-10720000,0,0,0,1,0.018074,54450,50
1554,2553000,54450,57050,57250,200,-10720000,0,0,0,1,0.018074,54450,50
1555,2554000,54650,57050,57250,200,-10720000,0,0,0,1,0.0180657,54650,50
1556,2555000,54850,57050,57250,200,-10720000,0,0,0,1,0.0183384,54850,50
1557,2556000,55050,57050,57250,200,-10720000,0,0,0,1,0.0186048,55050,50
1558,2557000,55050,57050,57250,200,-10720000,0,0,0,1,0.0185135,55050,50
1559,2558000,54950,57050,57250,200,-10720000,0,0,0,1,0.0182363,54950,50
1560,2559000,54750,57050,57250,200,-10720000,0,0,0,1,0.0185065,54750,50
1561,2560000,54750,57050,57250,200,-10720000,0,0,0,1,0.0184153,54750,50
1562,2561000,54850,57050,57250,200,-10720000,0,0,0,1,0.0184147,54850,50
1563,2562000,55050,57050,57250,200,-10720000,0,0,0,1,0.018412,55050,50
1564,2563000,55050,57050,57250,200,-10720000,0,0,0,1,0.0183217,55050,50
1565,2564000,55150,57050,57250,200,-10720000,0,0,0,1,0.0180467,55150,50
1566,2565000,55250,57050,57250,200,-10720000,0,0,0,1,0.0180454,55250,50
1567,2566000,55350,57050,57250,200,-10720000,0,0,0,1,0.0177668,55350,50
1568,2567000,55150,57050,57250,200,-10720000,0,0,0,1,0.0180404,55150,50
1569,2568000,55150,57050,57250,200,-10720000,0,0,0,1,0.0176708,55150,50
1570,2569000,55050,57050,57250,200,-10720000,0,0,0,1,0.0177637,55050,50
1571,2570000,55050,57050,57250,200,-10720000,0,0,0,1,0.017391,55050,50
1572,2571000,55050,57050,57250,200,-10720000,0,0,0,1,0.0170101,55050,50
1573,2572000,54950,57050,57250,200,-10720000,0,0,0,1,0.017107,54950,50
1574,2573000,54850,57050,57250,200,-10720000,0,0,0,1,0.0168185,54850,50
1575,2574000,54650,57050,57250,200,-10720000,0,0,0,1,0.0168257,54650,50
1576,2575000,54550,57050,57250,200,-10720000,0,0,0,1,0.0165305,54550,50
1577,2576000,54350,57050,57250,200,-10720000,0,0,0,1,0.0168358,54350,50
1578,2577000,54250,57050,57250,200,-10720000,0,0,0,1,0.0168384,54250,50
1579,2578000,54150,57050,57250,200,-10720000,0,0,0,1,0.0169391,54150,50
1580,2579000,54050,57050,57250,200,-10720000,0,0,0,1,0.0169421,54050,50
1581,2580000,54250,57050,57250,200,-10720000,0,0,0,1,0.0169537,54250,50
1582,2581000,54450,57050,57250,200,-10720000,0,0,0,1,0.0169652,54450,50
1583,2582000,54250,57050,57250,200,-10720000,0,0,0,1,0.0172649,54250,50
1584,2583000,54150,57050,57250,200,-10720000,0,0,0,1,0.0173632,54150,50
1585,2584000,54350,57050,57250,200,-10720000,0,0,0,1,0.0176573,54350,50
1586,2585000,54350,57050,57250,200,-10720000,0,0,0,1,0.0175634,54350,50
1587,2586000,54250,57050,57250,200,-10720000,0,0,0,1,0.0175655,54250,50
1588,2587000,54350,57050,57250,200,-10720000,0,0,0,1,0.0175672,54350,50
1589,2588000,54250,57050,57250,200,-10720000,0,0,0,1,0.0175687,54250,50
1590,2589000,54150,57050,57250,200,-10720000,0,0,0,1,0.0172806,54150,50
1591,2590000,54250,57050,57250,200,-10720000,0,0,0,1,0.0172813,54250,50
1592,2591000,54150,57050,57250,200,-10720000,0,0,0,1,0.0173795,54150,50
1593,2592000,54150,57050,57250,200,-10720000,0,0,0,1,0.0172821,54150,50
1594,2593000,53950,57050,57250,200,-10720000,0,0,0,1,0.0176738,53950,50
1595,2594000,53950,57050,57250,200,-10720000,0,0,0,1,0.0172893,53950,50
1596,2595000,53850,57050,57250,200,-10720000,0,0,0,1,0.0169976,53850,50
1597,2596000,53650,57050,57250,200,-10720000,0,0,0,1,0.0174001,53650,50
1598,2597000,53550,57050,57250,200,-10720000,0,0,0,1,0.0171115,53550,50
1599,2598000,53350,57050,57250,200,-10720000,0,0,0,1,0.0171278,53350,50
1600,2599000,53450,57050,57250,200,-10720000,0,0,0,1,0.0172299,53450,50
1601,2600000,53550,57050,57250,200,-10720000,0,0,0,1,0.0172332,53550,50
1602,2601000,53750,57050,57250,200,-10720000,0,0,0,1,0.0175354,53750,50
1603,2602000,53650,57050,57250,200,-10720000,0,0,0,1,0.0172457,53650,50
1604,2603000,53850,57050,57250,200,-10720000,0,0,0,1,0.0176426,53850,50
1605,2604000,53650,57050,57250,200,-10720000,0,0,0,1,0.017654,53650,50
1606,2605000,53750,57050,57250,200,-10720000,0,0,0,1,0.017372,53750,50
1607,2606000,53950,57050,57250,200,-10720000,0,0,0,1,0.0173878,53950,50
