tick,timestamp,mid_price,bid_price,ask_price,inventory,cash,realized_pnl,unrealized_pnl,total_pnl,trade_count,volatility,reservation_price,half_spread
2584,3583000,47850,57050,57250,200,-10700000,0,0,0,1,0.00314335,47850,50
2585,3584000,47650,57050,57250,200,-10700000,0,0,0,1,0.00313738,47650,50
2586,3585000,47850,57050,57250,200,-10700000,0,0,0,1,0.00319718,47850,50
2587,3586000,47650,57050,57250,200,-10700000,0,0,0,1,0.00324729,47650,50
2588,3587000,47450,57050,57250,200,-10700000,0,0,0,1,0.00324836,47450,50
2589,3588000,47650,57050,57250,200,-10700000,0,0,0,1,0.00325553,47650,50
2590,3589000,47850,57050,57250,200,-10700000,0,0,0,1,0.00325576,47850,50
2591,3590000,47950,57050,57250,200,-10700000,0,0,0,1,0.00321442,47950,50
2592,3591000,47850,57050,57250,200,-10700000,0,0,0,1,0.00317419,47850,50
2593,3592000,47850,57050,57250,200,-10700000,0,0,0,1,0.00311867,47850,50
2594,3593000,47650,57050,57250,200,-10700000,0,0,0,1,0.00317442,47650,50
2595,3594000,47650,57050,57250,200,-10700000,0,0,0,1,0.00315977,47650,50
2596,3595000,47650,57050,57250,200,-10700000,0,0,0,1,0.00310488,47650,50
2597,3596000,47550,57050,57250,200,-10700000,0,0,0,1,0.00310381,47550,50
2598,3597000,47350,57050,57250,200,-10700000,0,0,0,1,0.00314075,47350,50
2599,3598000,47150,57050,57250,200,-10700000,0,0,0,1,0.0031906,47150,50
2600,3599000,46950,57050,57250,200,-10700000,0,0,0,1,0.00321921,46950,50
2601,3600000,47150,57050,57250,200,-10700000,0,0,0,1,0.00328468,47150,50
2602,3601000,47250,57050,57250,200,-10700000,0,0,0,1,0.00328521,47250,50
2603,3602000,47050,57050,57250,200,-10700000,0,0,0,1,0.00331136,47050,50
2604,3603000,47250,57050,57250,200,-10700000,0,0,0,1,0.00333251,47250,50
2605,3604000,47450,57050,57250,200,-10700000,0,0,0,1,0.00338136,47450,50
2606,3605000,47550,57050,57250,200,-10700000,0,0,0,1,0.00334631,47550,50
2607,3606000,47350,57050,57250,200,-10700000,0,0,0,1,0.0033969,47350,50
2608,3607000,47250,57050,57250,200,-10700000,0,0,0,1,0.0034082,47250,50
2609,3608000,47350,57050,57250,200,-10700000,0,0,0,1,0.00337314,47350,50
2610,3609000,47550,57050,57250,200,-10700000,0,0,0,1,0.00337336,47550,50
2611,3610000,47350,57050,57250,200,-10700000,0,0,0,1,0.00342355,47350,50
2612,3611000,47350,57050,57250,200,-10700000,0,0,0,1,0.00337358,47350,50
2613,3612000,47350,57050,57250,200,-10700000,0,0,0,1,0.00337358,47350,50
2614,3613000,47250,57050,57250,200,-10700000,0,0,0,1,0.00337158,47250,50
2615,3614000,47050,57050,57250,200,-10700000,0,0,0,1,0.00337223,47050,50
2616,3615000,46950,57050,57250,200,-10700000,0,0,0,1,0.00338376,46950,50
2617,3616000,46750,57050,57250,200,-10700000,0,0,0,1,0.00343192,46750,50
2618,3617000,46950,57050,57250,200,-10700000,0,0,0,1,0.00348981,46950,50
2619,3618000,46750,57050,57250,200,-10700000,0,0,0,1,0.00347873,46750,50
2620,3619000,46550,57050,57250,200,-10700000,0,0,0,1,0.00350398,46550,50
2621,3620000,46650,57050,57250,200,-10700000,0,0,0,1,0.00351481,46650,50
2622,3621000,46450,57050,57250,200,-10700000,0,0,0,1,0.00349457,46450,50
2623,3622000,46650,57050,57250,200,-10700000,0,0,0,1,0.00354124,46650,50
2624,3623000,46550,57050,57250,200,-10700000,0,0,0,1,0.00352876,46550,50
2625,3624000,46650,57050,57250,200,-10700000,0,0,0,1,0.00351124,46650,50
2626,3625000,46850,57050,57250,200,-10700000,0,0,0,1,0.00353154,46850,50
2627,3626000,46850,57050,57250,200,-10700000,0,0,0,1,0.00347312,46850,50
2628,3627000,46950,57050,57250,200,-10700000,0,0,0,1,0.00343093,46950,50
2629,3628000,46850,57050,57250,200,-10700000,0,0,0,1,0.00337546,46850,50
2630,3629000,46850,57050,57250,200,-10700000,0,0,0,1,0.00335566,46850,50
2631,3630000,46750,57050,57250,200,-10700000,0,0,0,1,0.00332455,46750,50
2632,3631000,46650,57050,57250,200,-10700000,0,0,0,1,0.00326271,46650,50
2633,3632000,46850,57050,57250,200,-10700000,0,0,0,1,0.00329625,46850,50
2634,3633000,46950,57050,57250,200,-10700000,0,0,0,1,0.00327413,46950,50
2635,3634000,46950,57050,57250,200,-10700000,0,0,0,1,0.00322888,46950,50
2636,3635000,47150,57050,57250,200,-10700000,0,0,0,1,0.00323062,47150,50
2637,3636000,47250,57050,57250,200,-10700000,0,0,0,1,0.0031991,47250,50
2638,3637000,47150,57050,57250,200,-10700000,0,0,0,1,0.00315951,47150,50
2639,3638000,46950,57050,57250,200,-10700000,0,0,0,1,0.00314938,46950,50
2640,3639000,47150,57050,57250,200,-10700000,0,0,0,1,0.00315116,47150,50
2641,3640000,47150,57050,57250,200,-10700000,0,0,0,1,0.0031331,47150,50
2642,3641000,47050,57050,57250,200,-10700000,0,0,0,1,0.0031335,47050,50
2643,3642000,47150,57050,57250,200,-10700000,0,0,0,1,0.00315211,47150,50
2644,3643000,46950,57050,57250,200,-10700000,0,0,0,1,0.00315366,46950,50
2645,3644000,46750,57050,57250,200,-10700000,0,0,0,1,0.00320191,46750,50
2646,3645000,46750,57050,57250,200,-10700000,0,0,0,1,0.00320191,46750,50
2647,3646000,46850,57050,57250,200,-10700000,0,0,0,1,0.00321134,46850,50
2648,3647000,46850,57050,57250,200,-10700000,0,0,0,1,0.00316233,46850,50
2649,3648000,46650,57050,57250,200,-10700000,0,0,0,1,0.00316348,46650,50
2650,3649000,46750,57050,57250,200,-10700000,0,0,0,1,0.00312668,46750,50
2651,3650000,46650,57050,57250,200,-10700000,0,0,0,1,0.00307706,46650,50
2652,3651000,46750,57050,57250,200,-10700000,0,0,0,1,0.0030774,46750,50
2653,3652000,46950,57050,57250,200,-10700000,0,0,0,1,0.0030852,46950,50
2654,3653000,47150,57050,57250,200,-10700000,0,0,0,1,0.00308545,47150,50
2655,3654000,47350,57050,57250,200,-10700000,0,0,0,1,0.0030857,47350,50
2656,3655000,47550,57050,57250,200,-10700000,0,0,0,1,0.0031289,47550,50
2657,3656000,47750,57050,57250,200,-10700000,0,0,0,1,0.0031239,47750,50
2658,3657000,47550,57050,57250,200,-10700000,0,0,0,1,0.00316764,47550,50
2659,3658000,47350,57050,57250,200,-10700000,0,0,0,1,0.00321184,47350,50
2660,3659000,47450,57050,57250,200,-10700000,0,0,0,1,0.00316983,47450,50
2661,3660000,47350,57050,57250,200,-10700000,0,0,0,1,0.00312783,47350,50
2662,3661000,47250,57050,57250,200,-10700000,0,0,0,1,0.0031418,47250,50
2663,3662000,47350,57050,57250,200,-10700000,0,0,0,1,0.00315628,47350,50
2664,3663000,47550,57050,57250,200,-10700000,0,0,0,1,0.00319562,47550,50
2665,3664000,47450,57050,57250,200,-10700000,0,0,0,1,0.00315089,47450,50
2666,3665000,47650,57050,57250,200,-10700000,0,0,0,1,0.00318316,47650,50
2667,3666000,47550,57050,57250,200,-10700000,0,0,0,1,0.00313508,47550,50
2668,3667000,47450,57050,57250,200,-10700000,0,0,0,1,0.00310212,47450,50
2669,3668000,47350,57050,57250,200,-10700000,0,0,0,1,0.0030541,47350,50
2670,3669000,47450,57050,57250,200,-10700000,0,0,0,1,0.00299455,47450,50
2671,3670000,47550,57050,57250,200,-10700000,0,0,0,1,0.00299407,47550,50
2672,3671000,47650,57050,57250,200,-10700000,0,0,0,1,0.00292735,47650,50
2673,3672000,47750,57050,57250,200,-10700000,0,0,0,1,0.00288636,47750,50
2674,3673000,47950,57050,57250,200,-10700000,0,0,0,1,0.00290765,47950,50
2675,3674000,48150,57050,57250,200,-10700000,0,0,0,1,0.00294268,48150,50
2676,3675000,48350,57050,57250,200,-10700000,0,0,0,1,0.00293945,48350,50
2677,3676000,48450,57050,57250,200,-10700000,0,0,0,1,0.00294481,48450,50
2678,3677000,48350,57050,57250,200,-10700000,0,0,0,1,0.00296177,48350,50
2679,3678000,48250,57050,57250,200,-10700000,0,0,0,1,0.00296065,48250,50
2680,3679000,48150,57050,57250,200,-10700000,0,0,0,1,0.00298307,48150,50
2681,3680000,48150,57050,57250,200,-10700000,0,0,0,1,0.00295952,48150,50
2682,3681000,48050,57050,57250,200,-10700000,0,0,0,1,0.00295838,48050,50
2683,3682000,47850,57050,57250,200,-10700000,0,0,0,1,0.00298417,47850,50
2684,3683000,47750,57050,57250,200,-10700000,0,0,0,1,0.00299434,47750,50
2685,3684000,47850,57050,57250,200,-10700000,0,0,0,1,0.00300393,47850,50
2686,3685000,47750,57050,57250,200,-10700000,0,0,0,1,0.00297153,47750,50
2687,3686000,47650,57050,57250,200,-10700000,0,0,0,1,0.00297719,47650,50
2688,3687000,47750,57050,57250,200,-10700000,0,0,0,1,0.0029709,47750,50
2689,3688000,47950,57050,57250,200,-10700000,0,0,0,1,0.00294967,47950,50
2690,3689000,48150,57050,57250,200,-10700000,0,0,0,1,0.0029474,48150,50
2691,3690000,48050,57050,57250,200,-10700000,0,0,0,1,0.00296762,48050,50
2692,3691000,48250,57050,57250,200,-10700000,0,0,0,1,0.00299182,48250,50
2693,3692000,48150,57050,57250,200,-10700000,0,0,0,1,0.00300407,48150,50
2694,3693000,48150,57050,57250,200,-10700000,0,0,0,1,0.00292993,48150,50
2695,3694000,48150,57050,57250,200,-10700000,0,0,0,1,0.0028507,48150,50
2696,3695000,48250,57050,57250,200,-10700000,0,0,0,1,0.0028569,48250,50
2697,3696000,48250,57050,57250,200,-10700000,0,0,0,1,0.00285004,48250,50
2698,3697000,48350,57050,57250,200,-10700000,0,0,0,1,0.00285622,48350,50
2699,3698000,48250,57050,57250,200,-10700000,0,0,0,1,0.00279644,48250,50
2700,3699000,48050,57050,57250,200,-10700000,0,0,0,1,0.00286835,48050,50
2701,3700000,48150,57050,57250,200,-10700000,0,0,0,1,0.00284999,48150,50
2702,3701000,48050,57050,57250,200,-10700000,0,0,0,1,0.00286651,48050,50
2703,3702000,48050,57050,57250,200,-10700000,0,0,0,1,0.00281759,48050,50
2704,3703000,48050,57050,57250,200,-10700000,0,0,0,1,0.00276567,48050,50
2705,3704000,48250,57050,57250,200,-10700000,0,0,0,1,0.00276349,48250,50
2706,3705000,48350,57050,57250,200,-10700000,0,0,0,1,0.00271988,48350,50
2707,3706000,48150,57050,57250,200,-10700000,0,0,0,1,0.00273359,48150,50
2708,3707000,48350,57050,57250,200,-10700000,0,0,0,1,0.00271667,48350,50
